Category,Closed,Total,Pcnt Closed,Corcoran,Cuban,Lori,Robert Herjavec,John,Kevin O'Leary,Guest
Food,75,146,51.37,23,25,14,9,11,12,4
Fashion,69,140,49.29,15,20,15,14,22,5,2
Lifestyle,60,102,58.82,8,10,27,11,9,9,0
Education,43,76,56.58,6,11,12,8,7,6,6
Fitness,40,68,58.82,6,15,3,10,10,4,3
Tech,24,49,48.98,3,12,6,6,3,7,1
Healthcare,14,24,58.33,4,4,3,5,2,4,0
Pets,14,26,53.85,3,2,5,2,4,3,0
Entertainment,10,18,55.56,1,4,1,2,3,2,0
Other,22,58,37.93,1,7,2,7,3,6,2
