Category,Corcoran,Cuban,Lori,Robert,John,Kevin
Food,23,25,14,9,11,12
Fashion,15,20,15,14,22,5
Lifestyle,8,10,27,11,9,9
Education,6,11,12,8,7,6
Fitness,6,15,3,10,10,4
Tech,3,12,6,6,3,7
Healthcare,4,4,3,5,2,4
Pets,3,2,5,2,4,3
Media,1,4,1,2,3,2
Other,1,7,2,7,3,6
